agency_name,Latitude,Longitude,total_items,total_acquisition_value,most_acquired_item,first_acquisition,last_acquisition,slug,test,data_wrapper,first_acquisition_date,last_acquisition_date
LAUREL POLICE DEPT,39.1000861,-76.8560977,1,63894,"TRUCK,UTILITY",2012-05-11T12:00:00Z,2012-05-11T12:00:00Z,laurel_police_dept,"$63,894","Laurel Police Dept- Total Acquisition Value:$63,894",2012-05-11,2012-05-11
MARYLAND CAPITOL POLICE,38.884489,-76.91385,60,24960,"RIFLE,5.56 MILLIMETER",2012-04-24T12:00:00Z,2014-03-24T12:00:00Z,maryland_capitol_police,"$24,960","Maryland Capitol Police- Total Acquisition Value:$24,960",2012-04-24,2014-03-24
MONTGOMERY COUNTY POLICE DEPT,34.5473126,-93.6120787,1,733000,MINE RESISTANT VEHICLE,2014-04-21T12:00:00Z,2014-04-21T12:00:00Z,montgomery_county_police_dept,"$733,000","Montgomery County Police Dept- Total Acquisition Value:$733,000",2014-04-21,2014-04-21
MORGAN STATE UNIV POLICE HI_ED,39.3437959,-76.5843847,14,4706,"SHOTGUN,12 GAGE,RIOT TYPE",1999-01-28T12:00:00Z,2015-03-30T12:00:00Z,morgan_state_univ_police_hi_ed,"$4,706","Morgan State Univ Police Hi_ed- Total Acquisition Value:$4,706",1999-01-28,2015-03-30
"NATURAL RESOURCES POLICE DNR",38.95345,-76.35324,838,518943.95,"DUCT,AIR OUTLET",2009-07-17T12:00:00Z,2021-02-17T12:00:00Z,natural_resources_police_dnr,"$518,944","Natural Resources Police Dnr- Total Acquisition Value:$518,944",2009-07-17,2021-02-17
NEW CARROLLTON POLICE DEPT,38.964586,-76.8654404,35,14151,"RIFLE,5.56 MILLIMETER",1999-01-28T12:00:00Z,2015-03-30T12:00:00Z,new_carrollton_police_dept,"$14,151","New Carrollton Police Dept- Total Acquisition Value:$14,151",1999-01-28,2015-03-30
OCEAN CITY POLICE,38.3882889,-75.0672996,24,76450,"RIFLE,5.56 MILLIMETER",2002-10-21T12:00:00Z,2015-03-30T12:00:00Z,ocean_city_police,"$76,450","Ocean City Police- Total Acquisition Value:$76,450",2002-10-21,2015-03-30
OXFORD POLICE DEPARTMENT,37.273492,-97.1692649,11,3096,"SHOTGUN,12 GAGE,RIOT TYPE",1998-10-09T12:00:00Z,2014-03-24T12:00:00Z,oxford_police_department,"$3,096","Oxford Police Department- Total Acquisition Value:$3,096",1998-10-09,2014-03-24
POCOMOKE CITY POLICE DEPT,38.0756773,-75.5679805,31,80893,"RIFLE,5.56 MILLIMETER",1999-01-28T12:00:00Z,2014-09-29T12:00:00Z,pocomoke_city_police_dept,"$80,893","Pocomoke City Police Dept- Total Acquisition Value:$80,893",1999-01-28,2014-09-29
PRINCE GEORGE COUNTY POLICE DEPT,38.9178072,-76.8749155,37,10566,"RIFLE,7.62 MILLIMETER",1994-11-07T12:00:00Z,2014-03-24T12:00:00Z,prince_george_county_police_dept,"$10,566","Prince George County Police Dept- Total Acquisition Value:$10,566",1994-11-07,2014-03-24
PRINCE GEORGE'S CTY SHERIFF OFFICE,38.8150935,-76.7412406,679,21432.64,"RIFLE,5.56 MILLIMETER",1995-03-15T12:00:00Z,2021-02-17T12:00:00Z,prince_george's_cty_sheriff_office,"$21,433","Prince George's Cty Sheriff Office- Total Acquisition Value:$21,433",1995-03-15,2021-02-17
PRINCESS ANNE POLICE DEPT,38.2048091,-75.695705,33,163558,"RIFLE,5.56 MILLIMETER",2006-12-22T12:00:00Z,2015-03-30T12:00:00Z,princess_anne_police_dept,"$163,558","Princess Anne Police Dept- Total Acquisition Value:$163,558",2006-12-22,2015-03-30
QUEEN ANNES COUNTY SHERIFFS OFFICE,39.0424991,-76.0607663,134,534388.24,"RIFLE,5.56 MILLIMETER",1997-04-21T12:00:00Z,2016-12-19T12:00:00Z,queen_annes_county_sheriffs_office,"$534,388","Queen Annes County Sheriffs Office- Total Acquisition Value:$534,388",1997-04-21,2016-12-19
RIDGELY POLICE DEPT,38.9481816,-75.8842416,9,3238,"PISTOL, 40CAL, GLOCK GEN 3",2004-12-23T12:00:00Z,2013-09-19T12:00:00Z,ridgely_police_dept,"$3,238","Ridgely Police Dept- Total Acquisition Value:$3,238",2004-12-23,2013-09-19
RISING SUN POLICE DEPARTMENT,39.6982894,-76.0625963,5,64623,"RIFLE,5.56 MILLIMETER",1996-06-26T12:00:00Z,2014-06-11T12:00:00Z,rising_sun_police_department,"$64,623","Rising Sun Police Department- Total Acquisition Value:$64,623",1996-06-26,2014-06-11
SAINT MARYS COUNTY SHERIFF DEPT,38.3047188,-76.6289693,27,11307,"RIFLE,5.56 MILLIMETER",2004-02-12T12:00:00Z,2004-04-22T12:00:00Z,saint_marys_county_sheriff_dept,"$11,307","Saint Marys County Sheriff Dept- Total Acquisition Value:$11,307",2004-02-12,2004-04-22
SAINT MICHAELS POLICE DEPT,38.7861851,-76.2253628,18,8692,"PISTOL, 40CAL, GLOCK GEN 3",2005-02-18T12:00:00Z,2014-09-25T12:00:00Z,saint_michaels_police_dept,"$8,692","Saint Michaels Police Dept- Total Acquisition Value:$8,692",2005-02-18,2014-09-25
SALISBURY POLICE DEPT,38.36955,-75.61438,11,66150,"SHOTGUN,12 GAGE,RIOT TYPE",1999-01-28T12:00:00Z,2013-03-12T12:00:00Z,salisbury_police_dept,"$66,150","Salisbury Police Dept- Total Acquisition Value:$66,150",1999-01-28,2013-03-12
SNOW HILL POLICE DEPT,38.1768396,-75.3947194,19,5125.55,"PISTOL, 40CAL, GLOCK GEN 3",1994-11-28T12:00:00Z,2013-09-19T12:00:00Z,snow_hill_police_dept,"$5,126","Snow Hill Police Dept- Total Acquisition Value:$5,126",1994-11-28,2013-09-19
SOMERSET CSO,37.0593067,-84.6165229,89,58079.68,"PISTOL, 40CAL, GLOCK GEN 3",1994-11-28T12:00:00Z,2015-12-22T07:49:38Z,somerset_cso,"$58,080","Somerset Cso- Total Acquisition Value:$58,080",1994-11-28,2015-12-22
STATE POLICE,NA,NA,1490,539327.8,"SIGHT,REFLEX",1994-10-31T12:00:00Z,2021-02-17T12:00:00Z,state_police,"$539,328","State Police- Total Acquisition Value:$539,328",1994-10-31,2021-02-17
TAKOMA PARK POLICE DEPT,NA,NA,29,9267,"RIFLE,7.62 MILLIMETER",2003-06-25T12:00:00Z,2010-09-17T12:00:00Z,takoma_park_police_dept,"$9,267","Takoma Park Police Dept- Total Acquisition Value:$9,267",2003-06-25,2010-09-17
TRANSIT ADMIN POLICE DEPT,NA,NA,24,9642,"RIFLE,5.56 MILLIMETER",1999-01-28T12:00:00Z,2015-03-30T12:00:00Z,transit_admin_police_dept,"$9,642","Transit Admin Police Dept- Total Acquisition Value:$9,642",1999-01-28,2015-03-30
UNIV OF MD EASTERN SHORE PD HI_ED,NA,NA,8,3992,"RIFLE,5.56 MILLIMETER",1996-06-26T12:00:00Z,2005-02-14T12:00:00Z,univ_of_md_eastern_shore_pd_hi_ed,"$3,992","Univ Of Md Eastern Shore Pd Hi_ed- Total Acquisition Value:$3,992",1996-06-26,2005-02-14
WASHINGTON COUNTY SHERIFFS OFFICE,NA,NA,68,26808,"RIFLE,5.56 MILLIMETER",2000-09-07T12:00:00Z,2015-03-30T12:00:00Z,washington_county_sheriffs_office,"$26,808","Washington County Sheriffs Office- Total Acquisition Value:$26,808",2000-09-07,2015-03-30
WICOMICO COUNTY SHERIFF OFFICE,NA,NA,54,983740.5,"RIFLE,5.56 MILLIMETER",1994-10-31T12:00:00Z,2018-12-04T12:00:00Z,wicomico_county_sheriff_office,"$983,740","Wicomico County Sheriff Office- Total Acquisition Value:$983,740",1994-10-31,2018-12-04
WORCESTER COUNTY SHERIFF DEPT,NA,NA,13,1794,"RIFLE,7.62 MILLIMETER",1994-11-28T12:00:00Z,2008-01-22T12:00:00Z,worcester_county_sheriff_dept,"$1,794","Worcester County Sheriff Dept- Total Acquisition Value:$1,794",1994-11-28,2008-01-22
