agency_name,Latitude,Longitude,total_items,total_acquisition_value,most_acquired_item,first_acquisition,last_acquisition,slug,Title,test,data_wrapper
CAPITOL HEIGHTS POLICE DEPT,38.884489,-76.91385,1,49897,"TRUCK,UTILITY",2014-04-09T12:00:00Z,2014-04-09T12:00:00Z,capitol_heights_police_dept,"Capitol Heights Police Dept- Total Acquisition Value:$49,897","$49,897","Capitol Heights Police Dept- Total Acquisition Value:$49,897"
CAROLINE COUNTY SHERIFF DEPT,38.051375,-77.3459108,6,2994,"RIFLE,5.56 MILLIMETER",2002-10-21T12:00:00Z,2002-10-21T12:00:00Z,caroline_county_sheriff_dept,"Caroline County Sheriff Dept- Total Acquisition Value:$2,994","$2,994","Caroline County Sheriff Dept- Total Acquisition Value:$2,994"
CARROLL COUNTY SHERIFF DEPT,36.3553972,-93.5465508,751,43290.4,"RIFLE,5.56 MILLIMETER",2001-05-29T12:00:00Z,2021-02-24T12:00:00Z,carroll_county_sheriff_dept,"Carroll County Sheriff Dept- Total Acquisition Value:$43,290","$43,290","Carroll County Sheriff Dept- Total Acquisition Value:$43,290"
CECIL COUNTY SHERIFF'S OFFICE,39.6023357,-75.7875464,52,22628,"RIFLE,5.56 MILLIMETER",2003-10-14T12:00:00Z,2014-03-24T12:00:00Z,cecil_county_sheriff's_office,"Cecil County Sheriff's Office- Total Acquisition Value:$22,628","$22,628","Cecil County Sheriff's Office- Total Acquisition Value:$22,628"
CENTREVILLE POLICE DEPT,39.0476522,-76.0619429,24,60908,"RIFLE,5.56 MILLIMETER",2003-10-14T12:00:00Z,2014-12-03T12:00:00Z,centreville_police_dept,"Centreville Police Dept- Total Acquisition Value:$60,908","$60,908","Centreville Police Dept- Total Acquisition Value:$60,908"
CHARLES COUNTY SHERIFFS  OFFICE,38.5245339,-76.982671,211,223107.72,"RIFLE,5.56 MILLIMETER",1998-09-28T12:00:00Z,2015-03-30T12:00:00Z,charles_county_sheriffs__office,"Charles County Sheriffs  Office- Total Acquisition Value:$223,108","$223,108","Charles County Sheriffs  Office- Total Acquisition Value:$223,108"
CHESTERTOWN POLICE DEPT,39.2126099,-76.0721454,15,7124,"RIFLE,5.56 MILLIMETER",2003-10-14T12:00:00Z,2004-09-07T12:00:00Z,chestertown_police_dept,"Chestertown Police Dept- Total Acquisition Value:$7,124","$7,124","Chestertown Police Dept- Total Acquisition Value:$7,124"
COLMAR MANOR POLICE DEPARTMENT,38.9331669,-76.9458078,16,5231.1,"PISTOL, 40CAL, GLOCK GEN 3",1999-01-28T12:00:00Z,2014-04-10T12:00:00Z,colmar_manor_police_department,"Colmar Manor Police Department- Total Acquisition Value:$5,231","$5,231","Colmar Manor Police Department- Total Acquisition Value:$5,231"
COPPIN STATE COLLEGE POLICE HI_ED,39.3126011,-76.6579973,70,41128.96,"PISTOL, 40CAL, GLOCK GEN 3",2013-09-19T12:00:00Z,2021-11-10T12:00:00Z,coppin_state_college_police_hi_ed,"Coppin State College Police Hi_ed- Total Acquisition Value:$41,129","$41,129","Coppin State College Police Hi_ed- Total Acquisition Value:$41,129"
CUMBERLAND POLICE DEPT,41.9296838,-71.4014086,3,865276,"RIFLE,7.62 MILLIMETER",2004-03-15T12:00:00Z,2016-10-12T12:00:00Z,cumberland_police_dept,"Cumberland Police Dept- Total Acquisition Value:$865,276","$865,276","Cumberland Police Dept- Total Acquisition Value:$865,276"
DENTON POLICE DEPT,33.2145891,-97.1249886,92,109695.23,"PISTOL,CALIBER .45,AUTOMATIC",1997-04-21T12:00:00Z,2015-03-27T12:00:00Z,denton_police_dept,"Denton Police Dept- Total Acquisition Value:$109,695","$109,695","Denton Police Dept- Total Acquisition Value:$109,695"
DORCHESTER COUNTY SHERIFF'S OFFICE,33.042653,-80.2109113,22,619393,"RIFLE,5.56 MILLIMETER",1997-04-21T12:00:00Z,2019-04-25T12:00:00Z,dorchester_county_sheriff's_office,"Dorchester County Sheriff's Office- Total Acquisition Value:$619,393","$619,393","Dorchester County Sheriff's Office- Total Acquisition Value:$619,393"
EASTON POLICE DEPT,40.6923725,-75.2115199,660,4118.4,"SANITIZER, HAND (PERSONAL SIZE)",2021-02-17T10:31:25Z,2021-02-17T12:00:00Z,easton_police_dept,"Easton Police Dept- Total Acquisition Value:$4,118","$4,118","Easton Police Dept- Total Acquisition Value:$4,118"
FRUITLAND POLICE DEPT,38.3167671,-75.6197141,46,144436,"SIGHT,REFLEX",1998-10-09T12:00:00Z,2014-03-24T12:00:00Z,fruitland_police_dept,"Fruitland Police Dept- Total Acquisition Value:$144,436","$144,436","Fruitland Police Dept- Total Acquisition Value:$144,436"
GREENBELT POLICE DEPT,39.0066002,-76.8914175,1,460000,ONLY COMPLETE COMBAT/ASSAULT/TACTICAL WHEELED VEHICLES,2000-03-28T12:00:00Z,2000-03-28T12:00:00Z,greenbelt_police_dept,"Greenbelt Police Dept- Total Acquisition Value:$460,000","$460,000","Greenbelt Police Dept- Total Acquisition Value:$460,000"
GREENSBORO POLICE DEPT,36.0692861,-79.7934427,10,52887,"SHOTGUN,12 GAGE,RIOT TYPE",1997-04-21T12:00:00Z,2014-03-24T12:00:00Z,greensboro_police_dept,"Greensboro Police Dept- Total Acquisition Value:$52,887","$52,887","Greensboro Police Dept- Total Acquisition Value:$52,887"
HAMPSTEAD POLICE DEPARTMENT,39.6047821,-76.8500291,5,1358,"RIFLE,5.56 MILLIMETER",2006-08-28T12:00:00Z,2011-10-07T12:00:00Z,hampstead_police_department,"Hampstead Police Department- Total Acquisition Value:$1,358","$1,358","Hampstead Police Department- Total Acquisition Value:$1,358"
HARFORD COUNTY SHERIFFS OFFICE,39.535863,-76.3484962,917,88476.88,"RIFLE,5.56 MILLIMETER",2002-10-21T12:00:00Z,2021-02-17T12:00:00Z,harford_county_sheriffs_office,"Harford County Sheriffs Office- Total Acquisition Value:$88,477","$88,477","Harford County Sheriffs Office- Total Acquisition Value:$88,477"
HOWARD COUNTY SHERIFF DEPT,33.9478215,-93.8457142,2,276,"RIFLE,7.62 MILLIMETER",1998-09-16T12:00:00Z,1998-09-17T12:00:00Z,howard_county_sheriff_dept,Howard County Sheriff Dept- Total Acquisition Value:$276,$276,Howard County Sheriff Dept- Total Acquisition Value:$276
HYATTSVILLE POLICE DEPT,38.9529428,-76.9417342,18,69034,"PISTOL, 40CAL, GLOCK GEN 3",2013-09-19T12:00:00Z,2015-03-30T12:00:00Z,hyattsville_police_dept,"Hyattsville Police Dept- Total Acquisition Value:$69,034","$69,034","Hyattsville Police Dept- Total Acquisition Value:$69,034"
LA PLATA POLICE DEPT,38.5288314,-76.9772502,24,127065.5,"TRUCK,UTILITY",2014-06-23T12:00:00Z,2016-11-22T12:00:00Z,la_plata_police_dept,"La Plata Police Dept- Total Acquisition Value:$127,066","$127,066","La Plata Police Dept- Total Acquisition Value:$127,066"
LAUREL POLICE DEPT,39.1000861,-76.8560977,1,63894,"TRUCK,UTILITY",2012-05-11T12:00:00Z,2012-05-11T12:00:00Z,laurel_police_dept,"Laurel Police Dept- Total Acquisition Value:$63,894","$63,894","Laurel Police Dept- Total Acquisition Value:$63,894"
MARYLAND CAPITOL POLICE,38.884489,-76.91385,60,24960,"RIFLE,5.56 MILLIMETER",2012-04-24T12:00:00Z,2014-03-24T12:00:00Z,maryland_capitol_police,"Maryland Capitol Police- Total Acquisition Value:$24,960","$24,960","Maryland Capitol Police- Total Acquisition Value:$24,960"
MONTGOMERY COUNTY POLICE DEPT,34.5473126,-93.6120787,1,733000,MINE RESISTANT VEHICLE,2014-04-21T12:00:00Z,2014-04-21T12:00:00Z,montgomery_county_police_dept,"Montgomery County Police Dept- Total Acquisition Value:$733,000","$733,000","Montgomery County Police Dept- Total Acquisition Value:$733,000"
MORGAN STATE UNIV POLICE HI_ED,39.3437959,-76.5843847,14,4706,"SHOTGUN,12 GAGE,RIOT TYPE",1999-01-28T12:00:00Z,2015-03-30T12:00:00Z,morgan_state_univ_police_hi_ed,"Morgan State Univ Police Hi_ed- Total Acquisition Value:$4,706","$4,706","Morgan State Univ Police Hi_ed- Total Acquisition Value:$4,706"
"NATURAL RESOURCES POLICE DNR",38.95345,-76.35324,838,518943.95,"DUCT,AIR OUTLET",2009-07-17T12:00:00Z,2021-02-17T12:00:00Z,natural_resources_police_dnr,"Natural Resources Police Dnr- Total Acquisition Value:$518,944","$518,944","Natural Resources Police Dnr- Total Acquisition Value:$518,944"
NEW CARROLLTON POLICE DEPT,38.964586,-76.8654404,35,14151,"RIFLE,5.56 MILLIMETER",1999-01-28T12:00:00Z,2015-03-30T12:00:00Z,new_carrollton_police_dept,"New Carrollton Police Dept- Total Acquisition Value:$14,151","$14,151","New Carrollton Police Dept- Total Acquisition Value:$14,151"
OCEAN CITY POLICE,38.3882889,-75.0672996,24,76450,"RIFLE,5.56 MILLIMETER",2002-10-21T12:00:00Z,2015-03-30T12:00:00Z,ocean_city_police,"Ocean City Police- Total Acquisition Value:$76,450","$76,450","Ocean City Police- Total Acquisition Value:$76,450"
OXFORD POLICE DEPARTMENT,37.273492,-97.1692649,11,3096,"SHOTGUN,12 GAGE,RIOT TYPE",1998-10-09T12:00:00Z,2014-03-24T12:00:00Z,oxford_police_department,"Oxford Police Department- Total Acquisition Value:$3,096","$3,096","Oxford Police Department- Total Acquisition Value:$3,096"
POCOMOKE CITY POLICE DEPT,38.0756773,-75.5679805,31,80893,"RIFLE,5.56 MILLIMETER",1999-01-28T12:00:00Z,2014-09-29T12:00:00Z,pocomoke_city_police_dept,"Pocomoke City Police Dept- Total Acquisition Value:$80,893","$80,893","Pocomoke City Police Dept- Total Acquisition Value:$80,893"
PRINCE GEORGE COUNTY POLICE DEPT,38.9178072,-76.8749155,37,10566,"RIFLE,7.62 MILLIMETER",1994-11-07T12:00:00Z,2014-03-24T12:00:00Z,prince_george_county_police_dept,"Prince George County Police Dept- Total Acquisition Value:$10,566","$10,566","Prince George County Police Dept- Total Acquisition Value:$10,566"
PRINCE GEORGE'S CTY SHERIFF OFFICE,38.8150935,-76.7412406,679,21432.64,"RIFLE,5.56 MILLIMETER",1995-03-15T12:00:00Z,2021-02-17T12:00:00Z,prince_george's_cty_sheriff_office,"Prince George's Cty Sheriff Office- Total Acquisition Value:$21,433","$21,433","Prince George's Cty Sheriff Office- Total Acquisition Value:$21,433"
PRINCESS ANNE POLICE DEPT,38.2048091,-75.695705,33,163558,"RIFLE,5.56 MILLIMETER",2006-12-22T12:00:00Z,2015-03-30T12:00:00Z,princess_anne_police_dept,"Princess Anne Police Dept- Total Acquisition Value:$163,558","$163,558","Princess Anne Police Dept- Total Acquisition Value:$163,558"
QUEEN ANNES COUNTY SHERIFFS OFFICE,39.0424991,-76.0607663,134,534388.24,"RIFLE,5.56 MILLIMETER",1997-04-21T12:00:00Z,2016-12-19T12:00:00Z,queen_annes_county_sheriffs_office,"Queen Annes County Sheriffs Office- Total Acquisition Value:$534,388","$534,388","Queen Annes County Sheriffs Office- Total Acquisition Value:$534,388"
RIDGELY POLICE DEPT,38.9481816,-75.8842416,9,3238,"PISTOL, 40CAL, GLOCK GEN 3",2004-12-23T12:00:00Z,2013-09-19T12:00:00Z,ridgely_police_dept,"Ridgely Police Dept- Total Acquisition Value:$3,238","$3,238","Ridgely Police Dept- Total Acquisition Value:$3,238"
RISING SUN POLICE DEPARTMENT,39.6982894,-76.0625963,5,64623,"RIFLE,5.56 MILLIMETER",1996-06-26T12:00:00Z,2014-06-11T12:00:00Z,rising_sun_police_department,"Rising Sun Police Department- Total Acquisition Value:$64,623","$64,623","Rising Sun Police Department- Total Acquisition Value:$64,623"
SAINT MARYS COUNTY SHERIFF DEPT,38.3047188,-76.6289693,27,11307,"RIFLE,5.56 MILLIMETER",2004-02-12T12:00:00Z,2004-04-22T12:00:00Z,saint_marys_county_sheriff_dept,"Saint Marys County Sheriff Dept- Total Acquisition Value:$11,307","$11,307","Saint Marys County Sheriff Dept- Total Acquisition Value:$11,307"
SAINT MICHAELS POLICE DEPT,38.7861851,-76.2253628,18,8692,"PISTOL, 40CAL, GLOCK GEN 3",2005-02-18T12:00:00Z,2014-09-25T12:00:00Z,saint_michaels_police_dept,"Saint Michaels Police Dept- Total Acquisition Value:$8,692","$8,692","Saint Michaels Police Dept- Total Acquisition Value:$8,692"
SALISBURY POLICE DEPT,38.36955,-75.61438,11,66150,"SHOTGUN,12 GAGE,RIOT TYPE",1999-01-28T12:00:00Z,2013-03-12T12:00:00Z,salisbury_police_dept,"Salisbury Police Dept- Total Acquisition Value:$66,150","$66,150","Salisbury Police Dept- Total Acquisition Value:$66,150"
SNOW HILL POLICE DEPT,38.1768396,-75.3947194,19,5125.55,"PISTOL, 40CAL, GLOCK GEN 3",1994-11-28T12:00:00Z,2013-09-19T12:00:00Z,snow_hill_police_dept,"Snow Hill Police Dept- Total Acquisition Value:$5,126","$5,126","Snow Hill Police Dept- Total Acquisition Value:$5,126"
SOMERSET CSO,37.0593067,-84.6165229,89,58079.68,"PISTOL, 40CAL, GLOCK GEN 3",1994-11-28T12:00:00Z,2015-12-22T07:49:38Z,somerset_cso,"Somerset Cso- Total Acquisition Value:$58,080","$58,080","Somerset Cso- Total Acquisition Value:$58,080"
STATE POLICE,NA,NA,1490,539327.8,"SIGHT,REFLEX",1994-10-31T12:00:00Z,2021-02-17T12:00:00Z,state_police,"State Police- Total Acquisition Value:$539,328","$539,328","State Police- Total Acquisition Value:$539,328"
TAKOMA PARK POLICE DEPT,NA,NA,29,9267,"RIFLE,7.62 MILLIMETER",2003-06-25T12:00:00Z,2010-09-17T12:00:00Z,takoma_park_police_dept,"Takoma Park Police Dept- Total Acquisition Value:$9,267","$9,267","Takoma Park Police Dept- Total Acquisition Value:$9,267"
TRANSIT ADMIN POLICE DEPT,NA,NA,24,9642,"RIFLE,5.56 MILLIMETER",1999-01-28T12:00:00Z,2015-03-30T12:00:00Z,transit_admin_police_dept,"Transit Admin Police Dept- Total Acquisition Value:$9,642","$9,642","Transit Admin Police Dept- Total Acquisition Value:$9,642"
UNIV OF MD EASTERN SHORE PD HI_ED,NA,NA,8,3992,"RIFLE,5.56 MILLIMETER",1996-06-26T12:00:00Z,2005-02-14T12:00:00Z,univ_of_md_eastern_shore_pd_hi_ed,"Univ Of Md Eastern Shore Pd Hi_ed- Total Acquisition Value:$3,992","$3,992","Univ Of Md Eastern Shore Pd Hi_ed- Total Acquisition Value:$3,992"
WASHINGTON COUNTY SHERIFFS OFFICE,NA,NA,68,26808,"RIFLE,5.56 MILLIMETER",2000-09-07T12:00:00Z,2015-03-30T12:00:00Z,washington_county_sheriffs_office,"Washington County Sheriffs Office- Total Acquisition Value:$26,808","$26,808","Washington County Sheriffs Office- Total Acquisition Value:$26,808"
WICOMICO COUNTY SHERIFF OFFICE,NA,NA,54,983740.5,"RIFLE,5.56 MILLIMETER",1994-10-31T12:00:00Z,2018-12-04T12:00:00Z,wicomico_county_sheriff_office,"Wicomico County Sheriff Office- Total Acquisition Value:$983,740","$983,740","Wicomico County Sheriff Office- Total Acquisition Value:$983,740"
WORCESTER COUNTY SHERIFF DEPT,NA,NA,13,1794,"RIFLE,7.62 MILLIMETER",1994-11-28T12:00:00Z,2008-01-22T12:00:00Z,worcester_county_sheriff_dept,"Worcester County Sheriff Dept- Total Acquisition Value:$1,794","$1,794","Worcester County Sheriff Dept- Total Acquisition Value:$1,794"
