"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","RISING SUN POLICE DEPARTMENT","2320-01-371-9584","TRUCK,UTILITY",1,"Each",62627,"C",1,2014-06-11 12:00:00,"State"
"MD","RISING SUN POLICE DEPARTMENT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-07-10 12:00:00,"State"
"MD","RISING SUN POLICE DEPARTMENT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-07-10 12:00:00,"State"
"MD","RISING SUN POLICE DEPARTMENT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-06-26 12:00:00,"State"
"MD","RISING SUN POLICE DEPARTMENT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,1996-07-10 12:00:00,"State"
