"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","RIDGELY POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2005-07-27 12:00:00,"State"
"MD","RIDGELY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","RIDGELY POLICE DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-12-23 12:00:00,"State"
"MD","RIDGELY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","RIDGELY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","RIDGELY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","RIDGELY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","RIDGELY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
"MD","RIDGELY POLICE DEPT","1005-01-D17-2240","PISTOL, 40CAL, GLOCK GEN 3",1,"Each",320,"D",NA,2013-09-19 12:00:00,"State"
